Dataset Name,Activity Type,Emission Resource
Victorian EPA 2021 (Spend-based),Purchased Goods and Services,Marketing and advertising (print)
Victorian EPA 2021 (Spend-based),Employee Commuting,Public transportation 
Victorian EPA 2021 (Spend-based),Purchased Goods and Services,Catering services 
IPCC AR4 2007,Direct Emissions - Refrigerants,HFC-23
IPCC AR4 2007,Direct Emissions - Other Gases,HFE-236ca12 (HG-10)
IPCC AR4 2007,Direct Emissions - Other Gases,HFE-338pcc13 (HG-01)
IPCC AR4 2007,Direct Emissions - Refrigerants,R-434A
IPCC AR4 2007,Direct Emissions - Refrigerants,Methylene chloride
IPCC AR4 2007,Direct Emissions - Refrigerants,R-423A
IPCC AR4 2007,Direct Emissions - Refrigerants,R-407A
IPCC AR4 2007,Direct Emissions - Refrigerants,R-407F
IPCC AR4 2007,Direct Emissions - Refrigerants,R-411B
IPCC AR4 2007,Direct Emissions - Refrigerants,R-507
IPCC AR4 2007,Direct Emissions - Other Gases,Carbon tetrachloride
IPCC AR4 2007,Direct Emissions - Other Gases,C3F8
IPCC AR4 2007,Direct Emissions - Other Gases,Nitrogen trifluoride
IPCC AR4 2007,Direct Emissions - Refrigerants,R-424A
IPCC AR4 2007,Direct Emissions - Other Gases,Methyl chloroform
IPCC AR4 2007,Direct Emissions - Other Gases,CO2
IPCC AR4 2007,Direct Emissions - Refrigerants,R-402B
IPCC AR4 2007,Direct Emissions - Refrigerants,Dimethylether
IPCC AR4 2007,Direct Emissions - Refrigerants,HFC-236ea
IPCC AR4 2007,Direct Emissions - Refrigerants,CFC-113
IPCC AR4 2007,Direct Emissions - Other Gases,HFE-245fa2
IPCC AR4 2007,Direct Emissions - Refrigerants,HFC-236cb
IPCC AR4 2007,Direct Emissions - Refrigerants,R-401A
IPCC AR4 2007,Direct Emissions - Refrigerants,Other
IPCC AR4 2007,Direct Emissions - Other Gases,Other
IPCC AR4 2007,Direct Emissions - Other Gases,Perfluorobutane (PFC-3-1-10)
IPCC AR4 2007,Direct Emissions - Other Gases,HFE-143a
IPCC AR4 2007,Direct Emissions - Refrigerants,HFC-161
IPCC AR4 2007,Direct Emissions - Refrigerants,HCFC-21
IPCC AR4 2007,Direct Emissions - Other Gases,C4F10
IPCC AR4 2007,Direct Emissions - Refrigerants,R-410B
IPCC AR4 2007,Direct Emissions - Other Gases,CF4
IPCC AR4 2007,Direct Emissions - Other Gases,Perfluoropropane (PFC-218)
IPCC AR4 2007,Direct Emissions - Refrigerants,HFC-245fa
IPCC AR4 2007,Direct Emissions - Refrigerants,R-407B
IPCC AR4 2007,Direct Emissions - Other Gases,SF6
IPCC AR4 2007,Direct Emissions - Other Gases,Perfluorocyclopropane
IPCC AR4 2007,Direct Emissions - Other Gases,Perfluoropentane (PFC-4-1-12)
IPCC AR4 2007,Direct Emissions - Refrigerants,R-408A
IPCC AR4 2007,Direct Emissions - Other Gases,Perfluoromethane (PFC-14)
IPCC AR4 2007,Direct Emissions - Other Gases,HFE-43-10pccc124 (H-Galden1040x)
IPCC AR4 2007,Direct Emissions - Refrigerants,R-422D
IPCC AR4 2007,Direct Emissions - Refrigerants,R-413A
IPCC AR4 2007,Direct Emissions - Refrigerants,HFC-32
IPCC AR4 2007,Direct Emissions - Refrigerants,R-504
IPCC AR4 2007,Direct Emissions - Refrigerants,HFC-143a
IPCC AR4 2007,Direct Emissions - Refrigerants,R-744 (CO2)
IPCC AR4 2007,Direct Emissions - Refrigerants,R-427A
IPCC AR4 2007,Direct Emissions - Other Gases,C6F14
IPCC AR4 2007,Direct Emissions - Other Gases,C10F18
IPCC AR4 2007,Direct Emissions - Refrigerants,R-407E
IPCC AR4 2007,Direct Emissions - Other Gases,HFE-134
IPCC AR4 2007,Direct Emissions - Other Gases,Halon-1301
IPCC AR4 2007,Direct Emissions - Refrigerants,R-407C
IPCC AR4 2007,Direct Emissions - Refrigerants,R-402A
IPCC AR4 2007,Direct Emissions - Other Gases,HFE-125
IPCC AR4 2007,Direct Emissions - Other Gases,N2O
IPCC AR4 2007,Direct Emissions - Refrigerants,HCFC-141b
IPCC AR4 2007,Direct Emissions - Other Gases,CH4
IPCC AR4 2007,Direct Emissions - Refrigerants,Methyl chloride
IPCC AR4 2007,Direct Emissions - Refrigerants,HFC-152a
IPCC AR4 2007,Direct Emissions - Other Gases,C5F12
IPCC AR4 2007,Direct Emissions - Other Gases,Methyl bromide
IPCC AR4 2007,Direct Emissions - Refrigerants,HFC-125
IPCC AR4 2007,Direct Emissions - Refrigerants,R-500
IPCC AR4 2007,Direct Emissions - Refrigerants,HFC-152
IPCC AR4 2007,Direct Emissions - Refrigerants,R-426A
IPCC AR4 2007,Direct Emissions - Refrigerants,HFC-143
IPCC AR4 2007,Direct Emissions - Other Gases,HFE-347pcf2
IPCC AR4 2007,Direct Emissions - Refrigerants,CFC-12/R12 = dichlorodifluoromethane
IPCC AR4 2007,Direct Emissions - Other Gases,Halon-1211
IPCC AR4 2007,Direct Emissions - Refrigerants,HFC-43-10mee
IPCC AR4 2007,Direct Emissions - Refrigerants,HFC-41
IPCC AR4 2007,Direct Emissions - Refrigerants,R-428A
IPCC AR4 2007,Direct Emissions - Refrigerants,HCFC-123
IPCC AR4 2007,Direct Emissions - Refrigerants,HFC-134a
IPCC AR4 2007,Direct Emissions - Refrigerants,R-403B
IPCC AR4 2007,Direct Emissions - Other Gases,HFE-254cb2
IPCC AR4 2007,Direct Emissions - Other Gases,HCFE-235da2
IPCC AR4 2007,Direct Emissions - Other Gases,HFE-245cb2
IPCC AR4 2007,Direct Emissions - Refrigerants,HFC-236fa
IPCC AR4 2007,Direct Emissions - Refrigerants,R290 = propane
IPCC AR4 2007,Direct Emissions - Refrigerants,CFC-115
IPCC AR4 2007,Direct Emissions - Refrigerants,HFC-365mfc
IPCC AR4 2007,Direct Emissions - Refrigerants,R-417A
IPCC AR4 2007,Direct Emissions - Refrigerants,CFC-11/R11 = trichlorofluoromethane
IPCC AR4 2007,Direct Emissions - Refrigerants,R-401B
IPCC AR4 2007,Direct Emissions - Refrigerants,R-410A
IPCC AR4 2007,Direct Emissions - Other Gases,Trifluoromethyl sulphur pentafluoride
IPCC AR4 2007,Direct Emissions - Refrigerants,R-407D
IPCC AR4 2007,Direct Emissions - Refrigerants,CFC-114
IPCC AR4 2007,Direct Emissions - Refrigerants,HCFC-225cb
IPCC AR4 2007,Direct Emissions - Other Gases,HFE-356pcc3
IPCC AR4 2007,Direct Emissions - Refrigerants,HCFC-124
IPCC AR4 2007,Direct Emissions - Refrigerants,HCFC-22/R22 = chlorodifluoromethane
IPCC AR4 2007,Direct Emissions - Refrigerants,R-404A
IPCC AR4 2007,Direct Emissions - Refrigerants,R-508A
IPCC AR4 2007,Direct Emissions - Other Gases,Perfluorocyclobutane (PFC-318)
IPCC AR4 2007,Direct Emissions - Other Gases,Perfluoroethane (PFC-116)
IPCC AR4 2007,Direct Emissions - Refrigerants,R-422A
IPCC AR4 2007,Direct Emissions - Refrigerants,R-508B
IPCC AR4 2007,Direct Emissions - Refrigerants,CFC-13
IPCC AR4 2007,Direct Emissions - Refrigerants,HFC-245ca
IPCC AR4 2007,Direct Emissions - Refrigerants,PFPMIE
IPCC AR4 2007,Direct Emissions - Refrigerants,HFC-134
IPCC AR4 2007,Direct Emissions - Refrigerants,R-411A
IPCC AR4 2007,Direct Emissions - Other Gases,HFE-449sl (HFE-7100)
IPCC AR4 2007,Direct Emissions - Other Gases,Perfluorohexane (PFC-5-1-14)
IPCC AR4 2007,Direct Emissions - Other Gases,NF3
IPCC AR4 2007,Direct Emissions - Other Gases,PFC-9-1-18
IPCC AR4 2007,Direct Emissions - Refrigerants,HCFC-142b
IPCC AR4 2007,Direct Emissions - Refrigerants,R-401C
IPCC AR4 2007,Direct Emissions - Refrigerants,R-507A
IPCC AR4 2007,Direct Emissions - Refrigerants,HCFC-225ca
IPCC AR4 2007,Direct Emissions - Other Gases,HFE-347mcc3
IPCC AR4 2007,Direct Emissions - Other Gases,C2F6
IPCC AR4 2007,Direct Emissions - Refrigerants,HFC-227ea
IPCC AR4 2007,Direct Emissions - Refrigerants,R-403A
IPCC AR4 2007,Direct Emissions - Other Gases,HFE-569sf2 (HFE-7200)
IPCC AR4 2007,Direct Emissions - Other Gases,c-C4F8
IPCC AR4 2007,Direct Emissions - Other Gases,Halon-2402
IPCC AR4 2007,Direct Emissions - Refrigerants,R600A = isobutane
IPCC AR6 2022,Direct Emissions - Other Gases,Halon-1011
IPCC AR6 2022,Direct Emissions - Other Gases,"4,4,4-trifluorobutan-1-ol"
IPCC AR6 2022,Direct Emissions - Other Gases,HCFE-235da2
IPCC AR6 2022,Direct Emissions - Refrigerants,HCFC-124a
IPCC AR6 2022,Direct Emissions - Other Gases,"2,2,3,3,3-pentafluoropropan-1-ol"
IPCC AR6 2022,Direct Emissions - Refrigerants,HCFC-123a / R-123a
IPCC AR6 2022,Direct Emissions - Refrigerants,HCFC-142b
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-43-10pccc124
IPCC AR6 2022,Direct Emissions - Other Gases,Bromoethane
IPCC AR6 2022,Direct Emissions - Refrigerants,CFC-114 / R-114
IPCC AR6 2022,Direct Emissions - Other Gases,PFC-41-12
IPCC AR6 2022,Direct Emissions - Other Gases,1-chlorobutane
IPCC AR6 2022,Direct Emissions - Other Gases,"2,2,3,4,4,4-hexafluorobutan-1-ol"
IPCC AR6 2022,Direct Emissions - Other Gases,"2,2,2-trifluoroethanol"
IPCC AR6 2022,Direct Emissions - Other Gases,n-HFE-7100
IPCC AR6 2022,Direct Emissions - Refrigerants,HCFC-132
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-245fa1
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-347mmz1
IPCC AR6 2022,Direct Emissions - Other Gases,"1,1,2,2,3,3,4,4,4a,5,5,6,6,7,7,8,8,8a-octadecafluoronaphthalene"
IPCC AR6 2022,Direct Emissions - Other Gases,Halon-1202
IPCC AR6 2022,Direct Emissions - Refrigerants,HFO-1123
IPCC AR6 2022,Direct Emissions - Other Gases,"1,1,2,2-tetrachloroethene"
IPCC AR6 2022,Direct Emissions - Other Gases,PFC-51-14
IPCC AR6 2022,Direct Emissions - Refrigerants,HFC-245eb
IPCC AR6 2022,Direct Emissions - Other Gases,"3,3,3-trifluoro-2-(trifluoromethyl)prop-1-ene"
IPCC AR6 2022,Direct Emissions - Other Gases,Dodecamethylpentasiloxane
IPCC AR6 2022,Direct Emissions - Other Gases,Decamethyltetrasiloxane
IPCC AR6 2022,Direct Emissions - Other Gases,"Prop-2-enyl 2,2,2-trifluoroacetate"
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-263m1
IPCC AR6 2022,Direct Emissions - Refrigerants,HFC-134 / R-134
IPCC AR6 2022,Direct Emissions - Other Gases,"1,1,1-trifluorobutan-2-one"
IPCC AR6 2022,Direct Emissions - Other Gases,"1-ethoxy-1,1,2,3,3,3-hexafluoropropane"
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-216
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-356mmz1
IPCC AR6 2022,Direct Emissions - Other Gases,"3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-pentadecafluorononan-1-ol"
IPCC AR6 2022,Direct Emissions - Other Gases,2-bromopropane
IPCC AR6 2022,Direct Emissions - Refrigerants,HFC-152
IPCC AR6 2022,Direct Emissions - Refrigerants,HFC-236ea
IPCC AR6 2022,Direct Emissions - Other Gases,PFC-71-18
IPCC AR6 2022,Direct Emissions - Refrigerants,HFO-1141
IPCC AR6 2022,Direct Emissions - Refrigerants,CFC-114a / R-114a
IPCC AR6 2022,Direct Emissions - Refrigerants,HFO-1234ze(Z)
IPCC AR6 2022,Direct Emissions - Refrigerants,HFO-1438ezy(E)
IPCC AR6 2022,Direct Emissions - Other Gases,HG-04
IPCC AR6 2022,Direct Emissions - Other Gases,Octafluorocyclopentene
IPCC AR6 2022,Direct Emissions - Other Gases,Halon-2402
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-143a
IPCC AR6 2022,Direct Emissions - Other Gases,Hexamethyldisiloxane
IPCC AR6 2022,Direct Emissions - Other Gases,Pentadecafluorotriethylamine
IPCC AR6 2022,Direct Emissions - Other Gases,HG'-03
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-338mmz1
IPCC AR6 2022,Direct Emissions - Refrigerants,HFC-32
IPCC AR6 2022,Direct Emissions - Other Gases,2-chloropropane
IPCC AR6 2022,Direct Emissions - Refrigerants,HFC-245cb
IPCC AR6 2022,Direct Emissions - Other Gases,HG'-01
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-7500
IPCC AR6 2022,Direct Emissions - Other Gases,"2,2,3,3,4,4,5,5-octafluorocyclopentan-1-ol"
IPCC AR6 2022,Direct Emissions - Other Gases,Perfluorotripropylamine
IPCC AR6 2022,Direct Emissions - Refrigerants,HCFC-124
IPCC AR6 2022,Direct Emissions - Refrigerants,HCFC-141
IPCC AR6 2022,Direct Emissions - Other Gases,"1,2-dibromoethane"
IPCC AR6 2022,Direct Emissions - Other Gases,PFC-1216
IPCC AR6 2022,Direct Emissions - Other Gases,"1,1,2,2,3,3,4-heptafluorocyclopentane"
IPCC AR6 2022,Direct Emissions - Other Gases,E-R316c
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-329mcc2
IPCC AR6 2022,Direct Emissions - Other Gases,Dodecamethylcyclohexasiloxane
IPCC AR6 2022,Direct Emissions - Refrigerants,HFC-272ca
IPCC AR6 2022,Direct Emissions - Refrigerants,CFC-112 / R-112
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-347mcf2
IPCC AR6 2022,Direct Emissions - Other Gases,Octafluoro-1-butene
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-236ca12
IPCC AR6 2022,Direct Emissions - Refrigerants,CFC-12 / R-12
IPCC AR6 2022,Direct Emissions - Other Gases,Trifluromethylsulfurpentafluoride
IPCC AR6 2022,Direct Emissions - Other Gases,(e)-hex-2-en-1-ol
IPCC AR6 2022,Direct Emissions - Other Gases,"2-chloro-1,1,2-trifluoro-1-methoxyethane"
IPCC AR6 2022,Direct Emissions - Other Gases,"Ethyl 2,2,2-trifluoroacetate"
IPCC AR6 2022,Direct Emissions - Refrigerants,HCFC-225cb
IPCC AR6 2022,Direct Emissions - Other Gases,"Formic acid;1,1,1,3,3,3-hexafluoropropan-2-ol"
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-347pcf2
IPCC AR6 2022,Direct Emissions - Other Gases,Halon-2401
IPCC AR6 2022,Direct Emissions - Refrigerants,CFC-112a / R-112a
IPCC AR6 2022,Direct Emissions - Other Gases,Decamethylcyclopentasiloxane
IPCC AR6 2022,Direct Emissions - Other Gases,HG'-02
IPCC AR6 2022,Direct Emissions - Other Gases,Tribromomethane
IPCC AR6 2022,Direct Emissions - Other Gases,PFPMIE
IPCC AR6 2022,Direct Emissions - Other Gases,i-HFE-7100
IPCC AR6 2022,Direct Emissions - Other Gases,N2O
IPCC AR6 2022,Direct Emissions - Other Gases,(e)-1-chloro-2-fluoroethene
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-338pcc13
IPCC AR6 2022,Direct Emissions - Other Gases,Methyl chloroform
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-227ea
IPCC AR6 2022,Direct Emissions - Other Gases,Halon-1211
IPCC AR6 2022,Direct Emissions - Refrigerants,HFO-1336mzz(E)
IPCC AR6 2022,Direct Emissions - Other Gases,"1,1,2-trifluoro-2-(trifluoromethoxy)ethane"
IPCC AR6 2022,Direct Emissions - Refrigerants,HFC-365mfc
IPCC AR6 2022,Direct Emissions - Other Gases,"Ethenyl 2,2,2-trifluoroacetate"
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-374pc2
IPCC AR6 2022,Direct Emissions - Other Gases,Carbon tetrachloride
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-254cb1
IPCC AR6 2022,Direct Emissions - Other Gases,Halon-1301
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-7300
IPCC AR6 2022,Direct Emissions - Refrigerants,HFO-1345zfc
IPCC AR6 2022,Direct Emissions - Refrigerants,HCFC-22 / R-22
IPCC AR6 2022,Direct Emissions - Refrigerants,HCFC-132c
IPCC AR6 2022,Direct Emissions - Other Gases,"1,2-dichloroethane"
IPCC AR6 2022,Direct Emissions - Refrigerants,HCFO-1233zd(E)
IPCC AR6 2022,Direct Emissions - Other Gases,"1,1,1,3,3,3-hexafluoropropan-2-ol"
IPCC AR6 2022,Direct Emissions - Refrigerants,HFC-245ca
IPCC AR6 2022,Direct Emissions - Refrigerants,HFC-152a
IPCC AR6 2022,Direct Emissions - Refrigerants,HFC-134a / R-134a
IPCC AR6 2022,Direct Emissions - Refrigerants,HFO-1447fz
IPCC AR6 2022,Direct Emissions - Refrigerants,HFC-23
IPCC AR6 2022,Direct Emissions - Refrigerants,HFO-1234ze(E)
IPCC AR6 2022,Direct Emissions - Other Gases,1-bromopropane
IPCC AR6 2022,Direct Emissions - Refrigerants,CFC 1112a
IPCC AR6 2022,Direct Emissions - Other Gases,Octamethyltrisiloxane
IPCC AR6 2022,Direct Emissions - Other Gases,Methylene bromide
IPCC AR6 2022,Direct Emissions - Other Gases,PFC-31-10
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-134
IPCC AR6 2022,Direct Emissions - Other Gases,PFC-1114
IPCC AR6 2022,Direct Emissions - Other Gases,Nitrogen trifluoride
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-347mcc3
IPCC AR6 2022,Direct Emissions - Other Gases,"1,1,1-trifluoropropan-2-one"
IPCC AR6 2022,Direct Emissions - Other Gases,"3,3,4,4,5,5,6,6,6-nonafluorohex-1-ene"
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-356mec3
IPCC AR6 2022,Direct Emissions - Other Gases,"1,1,1,2,2,3,3-heptafluoro-3-(1,2,2,2-tetrafluoroethoxy)propane"
IPCC AR6 2022,Direct Emissions - Refrigerants,CFC 1112
IPCC AR6 2022,Direct Emissions - Refrigerants,HFC-43-10mee
IPCC AR6 2022,Direct Emissions - Other Gases,"2,2,2-trifluoroethyl formate"
IPCC AR6 2022,Direct Emissions - Refrigerants,HCFC-31
IPCC AR6 2022,Direct Emissions - Other Gases,"2,2,3,3-tetrafluoropropan-1-ol"
IPCC AR6 2022,Direct Emissions - Other Gases,PFC-C-318
IPCC AR6 2022,Direct Emissions - Other Gases,Heptafluoroisobutyronitrile
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-356pcc3
IPCC AR6 2022,Direct Emissions - Other Gases,Halon-1201
IPCC AR6 2022,Direct Emissions - Other Gases,(z)-hex-2-en-1-ol
IPCC AR6 2022,Direct Emissions - Other Gases,Methyl bromide
IPCC AR6 2022,Direct Emissions - Other Gases,Halon-2311
IPCC AR6 2022,Direct Emissions - Refrigerants,HCFC-141b
IPCC AR6 2022,Direct Emissions - Other Gases,"1,1,1,2,2,4,5,5,5-nonafluoro-4-(trifluoromethyl)pentan-3-one"
IPCC AR6 2022,Direct Emissions - Other Gases,"1,1,2,2,3,3,4,4,4a,5,5,6,6,7,7,8,8,8a-octadecafluoronaphthalene"
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-356pcf3
IPCC AR6 2022,Direct Emissions - Other Gases,HG-03
IPCC AR6 2022,Direct Emissions - Refrigerants,CFC-13 / R-13
IPCC AR6 2022,Direct Emissions - Refrigerants,HFC-245ea
IPCC AR6 2022,Direct Emissions - Other Gases,Octafluorooxolane
IPCC AR6 2022,Direct Emissions - Refrigerants,CFC-113a / R-113a
IPCC AR6 2022,Direct Emissions - Other Gases,"1,1,2-trichloroethene"
IPCC AR6 2022,Direct Emissions - Other Gases,HFE-449s1
IPCC AR6 2022,Direct Emissions - Other Gases,PFC-91-18
IPCC AR6 2022,Direct Emissions - Other Gases,Sulfur hexafluoride
